,level_0,index,StringText,Titles
11,420,ch12pa01,"
Extraordinary contest between the army and the senate for the choice of an emperor.
Such was the unhappy condition of the Roman emperors, that, whatever might be their conduct, their fate was commonly the same.
A life of pleasure or virtue, of severity or mildness, of indolence or glory, alike led to an untimely grave; and almost every reign is closed by the same disgusting repetition of treason and murder.
The death of Aurelian, however, is remarkable by its extraordinary consequences.
The legions admired, lamented, and revenged their victorious chief.
The artifice of his perfidious secretary was discovered and punished.
The deluded conspirators attended the funeral of their injured sovereign, with sincere or well-feigned contrition, and submitted to the unanimous resolution of the military order, which was signified by the following epistle: The brave and fortunate armies to the senate and people of Rome.
The crime of one man, and the error of many, have deprived us of the late emperor Aurelian.
May it please you, venerable lords and fathers! to place him in the number of the gods, and to appoint a successor whom your judgment shall declare worthy of the Imperial purple.
None of those whose guilt or misfortune have contributed to our loss shall ever reign over us.
The Roman senators heard, without surprise, that another emperor had been assassinated in his camp; they secretly rejoiced in the fall of Aurelian; but the modest and dutiful address of the legions, when it was communicated in full assembly by the consul, diffused the most  pleasing astonishment.
Such honours as fear and perhaps esteem could extort they liberally poured forth on the memory of their deceased sovereign.
Such acknowledgments as gratitude could inspire they returned to the faithful armies of the republic, who entertained so just a sense of the legal authority of the senate in the choice of an emperor.
Yet, notwithstanding this flattering appeal, the most prudent of the assembly declined exposing their safety and dignity to the caprice of an armed multitude.
The strength of the legions was, indeed, a pledge of their sincerity, since those who may command are seldom reduced to the necessity of dissembling; but could it naturally be expected, that a hasty repentance would correct the inveterate habits of fourscore years?
Should the soldiers relapse into their accustomed seditions, their insolence might disgrace the majesty of the senate, and prove fatal to the object of its choice.
Motives like these dictated a decree by which the election of a new emperor was referred to the suffrage of the military order.
","Conduct of the Army and Senate after the Death of Aurelian Reigns of Tacitus, Probus, Carus, and his Sons"
12,462,ch13pa01,"
Elevation and character of Diocletian. A.D. 285.
As the reign of Diocletian was more illustrious than that of any of his predecessors, so was his birth more abject and obscure.
The strong claims of merit and of violence had frequently superseded the ideal prerogatives of nobility; but a distinct line of separation was hitherto preserved between the free and the servile part of mankind.
The parents of Diocletian had been slaves in the house of Anulinus, a Roman senator; nor was he himself distinguished by any other name than that which he derived from a small town in Dalmatia, from whence his mother deduced her origin.
It is, however, probable, that his father obtained the freedom of the family, and that he soon acquired an office of scribe, which was commonly exercised by persons of his condition.
Favourable oracles, or rather the consciousness of superior merit, prompted his aspiring son to pursue the profession of arms and the hopes of fortune; and it would be extremely curious to observe the gradation of arts and accidents which  enabled him in the end to fulfil those oracles, and to display that merit to the world.
Diocletian was successively promoted to the government of Maesia, the honours of the consulship, and the important command of the guards of the palace.
He distinguished his abilities in the Persian war; and, after the death of Numerian, the slave, by the confession and judgment of his rivals, was declared the most worthy of the Imperial throne.
The malice of religious zeal, whilst it arraigns the savage fierceness of his colleague Maximian, has affected to cast suspicions on the personal courage of the emperor Diocletian.
It would not be easy to persuade us of the cowardice of a soldier of fortune, who acquired and preserved the esteem of the legions, as well as the favour of so many warlike princes.
Yet even calumny is sagacious enough to discover and to attack the most vulnerable part.
The valour of Diocletian was never found inadequate to his duty, or to the occasion; but he appears not to have possessed the daring and generous spirit of a hero, who courts danger and fame, disdains artifice, and boldly challenges the allegiance of his equals.
His abilities were useful rather than splendid; a vigorous mind, improved by the experience and study of mankind, dexterity and application in business; a judicious mixture of liberality and economy, of mildness and rigour; profound dissimulation under the disguise of military frankness; steadiness to pursue his ends; flexibility to vary his means; and above all the great art of submitting his own passions, as well as those of others, to the interest of his ambition, and of colouring his ambition with the most specious pretences of justice and public utility.
Like Augustus, Diocletian may be considered as the founder of a new empire.  Like the adopted son of Caesar, he was distinguished as a statesman rather than a warrior; nor did either of those princes employ force, whenever their purpose could be effected by policy.
","The reign of Diocletian and his three associates, Maximian, Galerius, and Constantius General re-establishment of order and tranquillity The Persian war, victory, and triumph The new form of administration Abdication and retirement of Diocletian and Maximian"
13,504,ch14pa01,"
Period of civil wars and confusion A.D. 305-323
The balance of power established by Diocletian subsisted no longer than while it was sustained by the firm and dexterous hand of the founder.
It required such a fortunate mixture of different tempers and abilities as could scarcely be found, or even expected, a second time; two emperors without jealousy, two Caesars without ambition, and the same general interest invariably pursued by four independent princes.
The abdication of Diocletian and Maximian was succeeded by eighteen years of discord and confusion.
The empire was afflicted by five civil wars; and the remainder of the time was not so much a state of tranquillity as a suspension of arms between several hostile monarchs, who, viewing each other with an eye of fear and hatred, strove to increase their respective forces at the expense of their subjects.
",Troubles after the abdication of Diocletian Death of Constantius Elevation of Constantine and Maxentius Six Emperors at the same time Death of Maximian and Galerius Victories of Constantine over Maxentius and Licinius Reunion of the Empire under the authority of Constantine
14,543,ch15pa01,"
Importance of the inquiry
A candid but rational inquiry into the progress and establishment of Christianity may be considered as a very essential part of the history of the Roman empire.
While that great body was invaded by open violence, or undermined by slow decay, a pure and humble religion gently insinuated itself into the minds of men, grew up in silence and obscurity, derived new vigour from opposition, and finally erected the triumphant banner of the cross on the ruins of the Capitol.
Nor was the influence of Christianity confined to the period or to the limits of the Roman empire.
After a revolution of thirteen or fourteen centuries, that religion is still professed by the nations of Europe, the most distinguished portion of human kind in arts and learning as well as in arms.
By the industry and zeal of the Europeans it has been widely diffused to the most distant shores of Asia and Africa; and by the means of their colonies has been firmly established from Canada to Chili, in a world unknown to the ancients.
","The Progress of the Christian Religion, and the Sentiments, Manners, Numbers, and Condition of the primitive Christians"
15,607,ch16pa01,"
Christianity persecuted by the Roman emperors
If we seriously consider the purity of the Christian religion, the sanctity of its moral precepts, and the innocent as well as austere lives of the greater number of those who, during the first ages, embraced the faith of the gospel, we should naturally suppose that so benevolent a doctrine would have been received with due reverence, even by the unbelieving world; that the learned and the polite, however they might deride the miracles, would have esteemed the virtues of the new sect; and that the magistrates, instead of persecuting, would have protected an order of men who yielded the most passive obedience to the laws, though they declined the active cares of war and government.
If, on the other hand, we recollect the universal toleration of Polytheism, as it was invariably maintained by the faith of the people, the incredulity of philosophers, and the policy of the Roman senate and emperors, we are at a loss to discover what new offence the Christians had committed, what new provocation could exasperate the mild indifference of antiquity, and what new motives could urge the Roman princes, who beheld, without concern, a thousand forms of religion subsisting in peace under their gentle sway, to inflict a severe punishment on any part of their subjects, who had chosen for themselves a singular, but an inoffensive, mode of faith and worship.
","The Conduct of the Roman Government towards the Christians, from the Reign of Nero to that of Constantine"
16,669,ch17pa01,"
The unfortunate Licinius was the last rival who opposed the greatness, and the last captive who adorned the triumph, of Constantine.
After a tranquil and prosperous reign, the conqueror bequeathed to his family the inheritance of the Roman empire: a new capital, a new policy, and a new religion; and the innovations which he established have been embraced and consecrated by succeeding generations.
The age of the great Constantine and his sons is filled with important events; but the historian must be oppressed by their number and variety, unless he diligently separates from each other the scenes which are connected only by the order of time.
He will describe the political institutions that gave strength and stability to the empire, before he proceeds to relate the wars and revolutions which hastened its decline.
He will adopt the division, unknown to the ancients, of civil and ecclesiastical affairs: the victory of the Christians and their intestine discord will supply copious and distinct materials both for edification and for scandal.
","Foundation of Constantinople Political System of Constantine, and his Successors Military Discipline The Palace The Finances"
17,710,ch18pa01,"
Character of Constantine
The character of the prince who removed the seat of empire and introduced such important changes into the civil and religious constitution of his country has fixed the attention, and divided the opinions, of mankind.
By the grateful zeal of the Christians, the deliverer of the church has been decorated with every attribute of a hero, and even of a saint; while the discontent of the vanquished party has compared Constantine to the most abhorred of those tyrants who, by their vice and weakness, dishonoured the Imperial purple.
The same passions have in some degree been perpetuated to succeeding generations, and the character of Constantine is considered, even in the present age, as an object either of satire or of panegyric.
By the impartial union of those defects which are confessed by his warmest admirers and of those virtues which are acknowledged by his most implacable enemies, we might hope to delineate a just portrait of that extraordinary man, which the truth and candour of history should adopt without a blush.
But it would soon appear that the vain attempt to blend such discordant colours, and  to reconcile such inconsistent qualities, must produce a figure monstrous rather than human, unless it is viewed in its proper and distinct lights by a careful separation of the different periods of the reign of Constantine.
",Character of Constantine Gothic War Death of Constantine Division of the Empire among his three Sons Persian War Tragic Deaths of Constantine the Younger and Constans Usurpation of Magnentius Civil War Victory of Constantius
18,742,ch19pa01,"
Power of the eunuchs
The divided provinces of the empire were again united by the victory of Constantius; but, as that feeble prince was destitute of personal merit, either in peace or war; as he feared his generals and distrusted his ministers; the triumph of his arms served only to establish the reign of the eunuchs over the Roman world.
Those unhappy beings, the ancient production of oriental jealousy and despotism, were introduced into Greece and Rome by the contagion of Asiatic luxury.
Their progress was rapid; and the eunuchs, who, in the time of Augustus, had been abhorred, as the monstrous retinue of an Egyptian queen, were gradually admitted into the families of matrons, of  senators, and of the emperors themselves.
Restrained by the severe edicts of Domitian and Nerva, cherished by the pride of Diocletian, reduced to an humble station by the prudence of Constantine, they multiplied in the palaces of his degenerate sons, and insensibly acquired the knowledge, and at length the direction, of the secret councils of Constantius.
The aversion and contempt which mankind has so uniformly entertained for that imperfect species appears to have degraded their character, and to have rendered them almost as incapable as they were supposed to be of conceiving any generous sentiment or of performing any worthy action.
But the eunuchs were skilled in the arts of flattery and intrigue; and they alternately governed the mind of Constantius by his fears, his indolence,  and his vanity.
Whilst he viewed in a deceitful mirror the fair appearance of public prosperity, he supinely permitted them to intercept the complaints of the injured provinces, to accumulate immense treasures by the sale of justice and of honours; to disgrace the most important dignities by the promotion of those who had purchased at their hands the powers of oppression, and to gratify their resentment against the few independent spirits who arrogantly refused to solicit the protection of slaves.
Of these slaves the most distinguished was the chamberlain Eusebius, who ruled the monarch and the palace with such absolute sway that Constantius, according to the sarcasm of an impartial historian, possessed some credit with his haughty favourite.
By his artful suggestions the emperor was persuaded to subscribe the condemnation of the unfortunate Gallus, and to add a new crime to the long list of unnatural murders which pollute the honour of the house of Constantine.
",Constantius sole Emperor Elevation and Death of Gallus Danger and Elevation of Julian Sarmatian and Persian Wars Victories of Julian in Gaul
19,771,ch20pa01,"
The public establishment of Christianity may be considered as one of those important and domestic revolutions which excite the most lively curiosity and afford the most valuable instruction.
The victories and the civil policy of Constantine no longer influence the state of Europe; but a considerable portion of the globe still retains the impression which it received from the conversion of that monarch; and the ecclesiastical institutions of his reign are still connected, by an indissoluble chain, with the opinions, the passions, and the interests of the present generation.
","The Motives, Progress, and Effects of the Conversion of Constantine Legal Establishment and Constitution of the Christian or Catholic Church"
20,798,ch21pa01,"
The grateful applause of the clergy has consecrated the memory of a prince who indulged their passions and promoted their interest.
Constantine gave them security, wealth, honours, and revenge: and the support of the orthodox faith was considered as the most sacred and important duty of the civil magistrate.
The edict of Milan, the great charter of toleration, had confirmed to each individual of the Roman world the privilege of choosing and professing his own religion.
But this inestimable privilege was soon violated: with the knowledge of truth, the emperor imbibed the maxims of persecution; and the sects which dissented from the Catholic church were afflicted and oppressed by the triumph of Christianity.
Constantine easily believed that the Heretics, who presumed to dispute his opinions or to oppose his commands, were guilty of the most absurd and criminal obstinacy; and that a seasonable application of moderate severities might save those unhappy men from the danger of an everlasting condemnation.
Not a moment was lost in excluding the ministers and teachers of the separated congregations from any share of the rewards and immunities which the emperor had so liberally bestowed on the orthodox clergy.
But, as the sectaries might still exist under the cloud of royal disgrace, the conquest of the East was immediately followed by an edict which announced their total destruction.
After a  preamble filled with passion and reproach, Constantine absolutely prohibits the assemblies of the Heretics, and confiscates their public property to the use either of the revenue or of the Catholic church.
The sects against whom the Imperial severity was directed appear to have been the adherents of Paul of Samosata; the Montanists of Phrygia, who maintained an enthusiastic succession of prophecy; the Novatians, who sternly rejected the temporal efficacy of repentance; the Marcionites and Valentinians, under whose leading banners the various Gnostics of Asia and Egypt had insensibly rallied; and perhaps the Manichaeans, who had recently imported from Persia a more artful composition of Oriental and Christian theology.
The design of extirpating the name, or at least of restraining the progress, of these odious Heretics was prosecuted with vigour and effect.
Some of the penal regulations were copied from the edicts of Diocletian; and this method of conversion was applauded by the same bishops who had felt the hand of oppression and had pleaded for the rights of humanity.
Two immaterial circumstances  may serve, however, to prove that the mind of Constantine was not entirely corrupted by the spirit of zeal and bigotry.
Before he condemned the Manichaeans and their kindred sects, he resolved to make an accurate inquiry into the nature of their religious principles.
As if he distrusted the impartiality of his ecclesiastical counsellors, this delicate commission was entrusted to a civil magistrate, whose learning and moderation he justly esteemed, and of whose venal character he was probably ignorant.
The emperor was soon convinced that he had too hastily proscribed the orthodox faith and the exemplary morals of the Novatians, who had dissented from the church in some articles of discipline which were not perhaps essential to salvation.
By a particular edict, he exempted them from the general penalties of the law; allowed them to build a church at Constantinople, respected the miracles of their saints, invited their bishop Acesius to the council of Nice, and gently ridiculed the narrow tenets of his sect by a familiar jest, which, from the mouth of a sovereign, must have been received with applause and gratitude.
",Persecution of Heresy The Schism of the Donatists The Arian Controversy Athanasius Distracted State of the Church and Empire under Constantine and his Sons Toleration of Paganism
21,841,ch22pa01,"
The jealousy of Constantius against Julian.
While the Romans languished under the ignominious tyranny of eunuchs and bishops, the praises of Julian were repeated with transport in every part of the empire, except in the palace of Constantius.
The Barbarians of Germany had felt, and still dreaded, the arms of the young Caesar; his soldiers were the companions of his victory; the grateful provincials enjoyed the blessings of his reign; but the favourites who had opposed his elevation were offended by his virtues; and they justly considered the friend of the people as the enemy of the court.
As long as the fame of Julian was doubtful, the buffoons of the palace, who were skilled in the language of satire, tried the efficacy of those arts which they had so often practised with success.
They easily discovered that his simplicity was not exempt from affectation: the ridiculous epithets of an hairy savage, of an ape invested with the purple, were applied to the dress and person of the philosophic warrior; and his modest despatches were stigmatised as the vain and elaborate fictions of a loquacious Greek, a speculative soldier, who had studied the art of war amidst the groves of the academy.
The voice of malicious  folly was at length silenced by the shouts of victory; the conqueror of the Franks and Alemanni could no longer be painted as an object of contempt; and the monarch himself was meanly ambitious of stealing from his lieutenant the honourable reward of his labours.
In the letters crowned with laurel, which, according to ancient custom, were addressed to the provinces, the name of Julian was omitted.
Constantius had made his dispositions in person; he had signalised his valour in the foremost ranks; his military conduct had secured the victory; and the captive king of the Barbarians was presented to him on the field of battle, from which he was at that time distant about forty days' journey.
So extravagant a fable was incapable, however, of deceiving the public credulity, or even of satisfying the pride of the emperor himself.
Secretly conscious that the applause and favour of the Romans accompanied the rising fortunes of Julian, his discontented mind was prepared to receive the subtle poison of those artful sycophants who coloured their mischievous designs with the fairest appearances of truth and candour.
Instead of depreciating the  merits of Julian, they acknowledged, and even exaggerated, his popular fame, superior talents, and important services.
But they darkly insinuated that the virtues of the Caesar might instantly be converted into the most dangerous crimes, if the inconstant multitude should prefer their inclinations to their duty; or if the general of a victorious army should be tempted from his allegiance by the hopes of revenge and independent greatness.
Fears and envy of Constantius.
The personal fears of Constantius were interpreted by his council as a laudable anxiety for the public safety; whilst in private, and perhaps in his own breast, he disguised, under the less odious appellation of fear, the sentiments of hatred and envy, which he had secretly conceived for the inimitable virtues of Julian.
",Julian is declared Emperor by the Legions of Gaul His March and Success The Death of Constantius Civil Administration of Julian
22,862,ch23pa01,"
Religion of Julian
The character of Apostate has injured the reputation of Julian; and the enthusiasm which clouded his virtues has exaggerated the real and apparent magnitude of his faults.
Our partial ignorance may represent him as a philosophic monarch, who studied to protect, with an equal hand, the religious factions of the empire; and to allay the theological fever which had inflamed the minds of the people from the edicts of Diocletian to the exile of Athanasius.
A more accurate view of the character and conduct of Julian will remove this favourable prepossession for a prince who did not escape the general contagion of the times.
We enjoy the singular advantage of comparing the pictures which have been delineated by his fondest admirers and his implacable enemies.
The actions of Julian are faithfully related by a judicious and candid historian, the impartial spectator of his life and death.
The unanimous evidence of his contemporaries is confirmed by the public and private declarations of the emperor himself; and his various writings express the uniform tenor of his religious sentiments, which policy would have prompted him to dissemble rather than to affect.
A devout and sincere attachment for the gods of Athens and Rome constituted the ruling passion of Julian; the powers  of an enlightened understanding were betrayed and corrupted by the influence of superstitious prejudice; and the phantoms which existed only in the mind of the emperor had a real and pernicious effect on the government of the empire.
The vehement zeal of the Christians, who despised the worship, and overturned the altars, of those fabulous deities, engaged their votary in a state of irreconcilable hostility with a very numerous party of his subjects; and he was sometimes tempted, by the desire of victory or the shame of a repulse, to violate the laws of prudence, and even of justice.
The triumph of the party which he deserted and opposed has fixed a stain of infamy on the name of Julian; and the unsuccessful apostate has been overwhelmed with a torrent of pious invectives, of which the signal was given by the sonorous trumpet of Gregory Nazianzen.
The interesting nature of the events which were crowded into the short reign of this active emperor deserves a just and circumstantial narrative.
His motives, his counsels, and his actions, as far as they are connected with the history of religion, will be the subject of the present chapter.
",The Religion of Julian Universal Toleration He attempts to restore and reform the Pagan Worship; to rebuild the Temple of Jerusalem His artful Persecution of the Christians Mutual Zeal and Injustice
23,893,ch24pa01,"
The Caesars of Julian
The philosophical fable which Julian composed under the name of the Caesars is one of the most agreeable and instructive productions of ancient wit.
During the freedom and equality of the days of the Saturnalia, Romulus prepared a feast for the deities of Olympus, who had adopted him as a worthy associate, and for the Roman princes, who had reigned over his martial people and the vanquished nations of the earth.
The immortals were placed in just order on their thrones of state, and the table of the Caesars was spread below the Moon, in the upper region of the air.
The tyrants, who would have disgraced the society of gods and men, were thrown headlong, by the inexorable Nemesis, into the Tartarean abyss.
The rest of the Caesars successively advanced to their seats: and, as they passed, the vices, the defects, the  blemishes of their respective characters were maliciously noticed by old Silenus, a laughing moralist, who disguised the wisdom of a philosopher under the mask of a Bacchanal.
As soon as the feast was ended, the voice of Mercury proclaimed the will of Jupiter, that a celestial crown should be the reward of superior merit.
Julius Caesar, Augustus Trajan, and Marcus Antoninus were selected as the most illustrious candidates; the effeminate Constantine was not excluded from this honourable competition, and the great Alexander was invited to dispute the prize of glory with the Roman heroes.
Each of the candidates was allowed to display the merit of his own exploits; but, in the judgment of the gods, the modest silence of Marcus pleaded more powerfully than the elaborate orations of his haughty rivals.
When the judges of this awful contest proceeded to examine the heart and to scrutinise the springs of action, the superiority of the Imperial Stoic appeared still more decisive and conspicuous.
Alexander and Caesar, Augustus, Trajan, and Constantine, acknowledged with a blush that fame or power or pleasure had been the important object of their labours: but the gods themselves beheld, with reverence and love, a virtuous mortal, who had practised on the throne the lessons of philosophy; and who, in a state of human imperfection, had aspired to imitate the moral attributes of the Deity.
The value of this agreeable composition (the Caesars of Julian) is enhanced by the rank of the author.
A prince, who delineates with freedom the vices and virtues of his predecessors,  subscribes, in every line, the censure or approbation of his own conduct.
",Residence of Julian at Antioch His successful Expedition against the Persians Passage of the Tigris The Retreat and Death of Julian Election of Jovian He saves the Roman Army by a disgraceful Treaty
